ID,Topic,Count,Name,Representation,Representative_Docs
49,48,774,48_grüne_grünen_grün_grüne jugend,"['grüne', 'grünen', 'grün', 'grüne jugend', 'jugend', 'direktmandate', 'diegrünen', 'bundestagswahl', 'stimmen grün', 'wahlkreisen']","['insgesamt Wahlkreisen konnten Grüne letzten Bundestagswahl Mehrheit Erststimmen vereinen Direktmandate erringen Wer neben Menschen Direktmandaten stecken verbindet Wahlkreisen stelle kleinen Videoserie Grün Direkt Diesmal ausführlicher Kollegin mariakleinschmeink wunderbaren Münster unterhalten Münster berühmte direkt gewählte grüne Abgeordnete Zeit Bundestag kommunal Ort Politik gemacht Stadt somit Grün geprägt Spaß beim Zuhören Angucken grünunddirekt direktmandate münster münsterfürmaria lindafüraltonaimbundestag', 'Grüne', 'grüne']"
50,49,755,49_brasilien_chile_kolumbien_lateinamerika,"['brasilien', 'chile', 'kolumbien', 'lateinamerika', 'kuba', 'de', 'argentinien', 'mexiko', 'guatemala', 'venezuela']","['spannende Tage Santiago de Chile Varparaíso Gemeinsam Vizepräsidenten Berliner Niels Internationale IPS Vorstellungsgespräche jungen Menschen Chile Argentinien Kolumbien geführt nächsten Jahr Monate Berlin kommen Arbeit Bundestag bereichern Zudem weitere Gespräche geführt denen geworben Themen Fachkräftesicherung Technologieentwicklungen erneuerbaren Energien Medienlandschaft Gegenstand vieler Diskussionen Gesandten Schmitt Gespräch AHK Chile Besuch Chile Gespräch DAAD Chile Nationalkongress Deutsche Schule Santiago Schüler innen Friedrich Ebert en Chile GIZ Botschaft Tag Einheit Botschafterin chile argentinien kolumbien ips stipendium bundestag humboldt wasserstoff bildung partner', 'César Bernardo Arévalo de León demokratisch gewählte Präsident Guatemalas freue Deutschland Amtseinführung Januar vertreten durfte Vergnügen bernardoarevalogt Deutschland Münchner Sicherheitskonferenz treffen Deutschland unterstützt demokratisch gewählte Regierung Guatemalas Entwicklung demokratischen Rechtsstaates unterstützt indigene Bevölkerung Recht Selbstbestimmung Moviemento Semilla neue Party Party Hoffnung freue engen Dialog Deutschen Bundestag congresoguate Kongress Republik Guatemala initiiert darüber engen parteipolitischen Dialog msemillagt spdde begonnen Dialog exklusiv empfindliche Pflänzchen Demokratie Guatemala Moviemento Semilla glaubwürdigste demokratische Vertretung braucht Unterstützung César Bernardo Arévalo de León el presidente democráticamente elegido de Guatemala Me alegro de haber podido representar a Alemania en su inauguración en enero Y tuve el placer de reunirme con el Presidente Arévalo en Alemania en la Conferencia de Seguridad de Munich Alemania apoya al gobierno democráticamente elegido de Guatemala en su camino hacia el desarrollo de un Estado constitucional democrático y apoya a la población indígena en su derecho a la autodeterminación Moviemento Semilla un partido nuevo un partido de la esperanza Me complace que hayamos iniciado un diálogo estrecho entre el Bundestag alemán y el Congreso de la República de Guatemala Pero también sobre el hecho de que hemos iniciado un estrecho diálogo partidista entre Moviemento Semilla y el SPD Este diálogo no excluyente La delicada planta de la democracia en Guatemala y Moviemento Semilla la representación democrática más creíble necesita todo el apoyo y democracia para Guatemala y justicia para todos los pueblos axelecheverriamdb', 'Gestern wurde Millionen Stimmen Sozialdemokrat Lula Silva Präsidenten Brasiliens gewählt bezwang rechtsextremen Präsidenten Bolsonaro ultrakonservativen Christen Nostalgikern Militärdiktatur gestützt Wahl Brasilien wichtig Bekämpfung Hungers wichtigste Aufgabe sieht Lateinamerika Mexiko Nicaragua Kolumbien Chile Argentinien Brasilien Linken regiert versprochene Rettung Amazonas mögliche Integration Zusammenarbeit globalen Südens Brics Lateinamerikas MercoSur Celac bieten Welt positive Perspektive Zukunft Glückwünsche gehen neuen Präsidenten Lula Silva Arbeiterpartei Programm sozialen Fortschritts Parabéns']"
51,50,744,50_plakate_plakat_plakatieren_hängen,"['plakate', 'plakat', 'plakatieren', 'hängen', 'wahlkampf', 'wahlplakate', 'plakate hängen', 'ersten plakate', 'graffiti', 'plakatierung']","['Plakate Plakate Plakate', 'ersten Plakate hängen', 'Plakate']"
52,51,689,51_fdp_fdp fdp_afd_jetztfdp,"['fdp', 'fdp fdp', 'afd', 'jetztfdp', 'fdpbt', 'fdp länderwende', 'afd afd', 'nrw', 'länderwende', 'müllerdirekt']","['FDP', 'FDP', 'FDP']"
53,52,659,52_coronavirus_app_corona_coronawarnapp,"['coronavirus', 'app', 'corona', 'coronawarnapp', 'virus', 'infektionsketten', 'ausbreitung', 'coronaapp', 'flattenthecurve', 'ichappmit']","['steht kurz Veröffentlichung freiwilligen App Infektionsketten Deutschland besser nachverfolgen unterbrechen informiert Personen infizierten Person Kontakt standen funktioniert Mithilfe Bluetooth misst Abstand Handys zwei Personen Signalstärke zeigt dabei weit Geräte voneinander entfernt Mobilgeräte merken anhand RKI festgelegter Kriterien Nähe Zeit Kontakte verschlüsselter Form positiv getestet freiwilliger Basis Kontakte App informieren lassen Weder Infizierte erfährt dabei Kontakte informiert wurden erfahren Kontaktierten wer Infizierte anonymisierten Daten Kontakte dezentral jeweiligen Smartphone gespeichert App funktioniert Handys denen App installiert wurde Auftrag Bundesregierung SAP Deutschen Telekom entwickelt setzt Transparenz offenen Quellcode App erfüllt strenge Vorgaben beim Datenschutz Datensicherheit möglichst viele Menschen Nutzung App entscheiden volle Wirkung App entfalten App nutzen sobald Download bereit steht voraussichtlich heute Morgen offizielle Vorstellung App Macht matthiashauer essencity essenstadt essenruhr ruhrgebiet essen cdu bundesregierung corona app coronaapp tracingapp warnapp coronawarnapp forschung deutschetelekom sap aufklärung datenschutz datensicherheit transparenz gemeinsamgegencorona wirvsvirus abstandhalten', 'Seit heute offizielle coronawarnapp App gleich heute Vormittag installiert einfach App Store Google Play Store herunterladen mithelfen Ausbreitung Coronavirus einzudämmen App schon', 'KAMPF CORONA CORONA WARN APP Habt schon Corona WarnApp installiert schnappt Handy ladet App Store herunter ja fragt mal Freundinnen Freunde Bekannte Eltern Großeltern Helft Infektionsgeschehen Gerade Kontaktnachverfolgung Problem App hilfreiches Mittel Kampf Virus Klar App perfekt Brauchen gar drum herum reden wirklich Grund nutzen Ganz wenig perfekt ganze Leben Kompromiss Lasst Potenzial nutzen Kampf Corona wichtig App Handy laden genauso wichtig Testergebnisse hinterlegt getestet solltet App gar funktionieren Deshalb Test macht stimmt Ergebnis App mitgeteilt geht ganz einfach per Kreuzchen Formular Testung ohnehin Regel schnellste Ergebnis erfahren Ergebnis App mitgeteilt wurde positiv ganz wichtig App teilt all relevanten Kontaktpersonen App gewarnt erfolgt komplett anonym Millionen Mal wurde Deutschland schon heruntergeladen Fragen App Nutzung habt stellt gern Beitrag plus App geht corona coronawarnapp coronaapp gemeinsamgegencorona schaumburg nienburg landkreisnienburgweser landkreisschaumburg aufgehts']"
54,53,612,53_csu_cdu_wegenmorgen_cducsubt,"['csu', 'cdu', 'wegenmorgen', 'cducsubt', 'csu bundestag', 'lernt csu', 'bundestag besser', 'besser kennen', 'cdu vollerenergie', 'erststimme rohwer']","['große geht dritte Runde Lernt CSU Bundestag besser kennen stellen heute fünf weitere unserer Abgeordneten Habt Sommer Urlaubsreise geplant Schreibt Kommentar CSU Bundestag', 'große geht dritte Runde Lernt CSU Bundestag besser kennen stellen heute fünf weitere unserer Abgeordneten Habt Sommer Urlaubsreise geplant Schreibt Kommentar CSU Bundestag', 'cdu']"
55,54,582,54_homeoffice_workworkwork_büro_arbeit arbeit,"['homeoffice', 'workworkwork', 'büro', 'arbeit arbeit', 'your desk', 'arbeitgeber', 'on your', 'desk', 'arbeiten', 'arbeit']","['Homeoffice möglich nötig heute verpflichtende Testangebot Arbeitsplatz gebracht klar müssen all diejenigen schützen Hause arbeiten geht Arbeitgeber innen Arbeitnehmer innen anbieten Ort arbeiten müssen mindestens pro Woche Pflicht einzuführen leider nötig viele Betriebe Unternehmen allein nachgekommen helfen verankern übrigens heute Kabinett beschlossen Woche Bundestag beraten', 'Homeoffice möglich nötig heute verpflichtende Testangebot Arbeitsplatz gebracht klar müssen all diejenigen schützen Hause arbeiten geht Arbeitgeber innen Arbeitnehmer innen anbieten Ort arbeiten müssen mindestens pro Woche Pflicht einzuführen leider nötig viele Betriebe Unternehmen allein nachgekommen helfen verankern Tests heute Kabinett beschlossen homeoffice erstesein gemeinsamausderkrise geradejetzt spdbt spdimbundestag spdbundestagsfraktion spdlandesgruppebayern bayernspd sabinedittmar', 'Homeoffice möglich nötig verpflichtende Testangebot Arbeitsplatz gebracht klar müssen all diejenigen schützen Hause arbeiten geht Arbeitgeber innen Arbeitnehmer innen anbieten Ort arbeiten müssen mindestens pro Woche Pflicht einzuführen leider nötig viele Betriebe Unternehmen allein nachgekommen helfen verankern Tests']"
56,55,552,55_strand_strande_zeeland_beach,"['strand', 'strande', 'zeeland', 'beach', 'lovezeeland', 'walcheren', 'meer', 'light', 'ostsee', 'zeeland lovezeeland']","['Impressies van het strand deel strand oostkapelle walcheren lovezeeland zeeland zeecafe blackandwhite', 'Zonsondergang aan Zee zeeland zee lovezeeland walcheren dishoek zonsondergang sunset sea landschap landscape colors light', 'Aan Zee aanzee zee zeeland lovezeeland sea landschapsfotografie landschaftsfotografie natuur natur nature light colors']"
57,56,527,56_masken_maske_maskenpflicht_halloween,"['masken', 'maske', 'maskenpflicht', 'halloween', 'tragen', 'corona', 'maske tragen', 'maskeauf', 'schutzmasken', 'spahn']","['Studie Masken Cambridge Universität zeigt Masken Viren stoppen Masken tragen fällt Herbst Masken grosse Rolle spielen Höherwertige Masken immer gebraucht', 'KippelsimDialog öffentlichen Nahverkehr sowie beim Einkaufen sogenannte medizinischen Gesichtsmasken Pflicht erster Linie verringert Risiko potentiell infektiöse Trägers Umgebung gelangen Kurz verringert Risiko infizieren scheint Verwirrung Begriff medizinische Maske geben Gegensatz Alltagsstoffmasken unterliegen Masken bestimmten Normen bestimmte Kennzeichnung erkenntlich gemacht Masken kommen eigentlich Arbeitsschutz Hierin unterscheiden Masken medizinischen Bereich stammen Maske filtert Schadstoffe Luft Masken Verpackungen Hinweis medizinischen Gebrauch abgedruckt lässt lediglich chinesische Exportvorschriften zurückführen speziellen Masken medizinischen Bereich gibt Kennzeichnung rein gar Schutzniveau tun Wichtig Masken geprüft entfalten richtiger Anwendung entsprechend hohen Schutz bestätigt eindeutig Bundesanstalt Arbeitsschutz Arbeitsmedizin Lassen deshalb Beiträgen irritieren Masken gar medizinische Masken seien Schutz bringen Masken schützen Leben Umgebung', 'Maske tragen']"
58,57,516,57_valentinstag_hochzeit_liebe_hochzeitstag,"['valentinstag', 'hochzeit', 'liebe', 'hochzeitstag', 'wedding', 'love', 'schönen valentinstag', 'posten freude', 'valentine', 'darf bilder']","['Schönen Valentinstag', 'Valentinstag', 'Valentinstag']"
59,58,508,58_home_tür_balkon_homeoffice,"['home', 'tür', 'balkon', 'homeoffice', 'sofa', 'tür tür', 'haustürwahlkampf', 'zuhause', 'balkonien', 'spaziergang']","['Home', 'Home', 'home']"
60,59,450,59_indien_kanada_australien_indischen,"['indien', 'kanada', 'australien', 'indischen', 'india', 'delhi', 'canada', 'neuseeland', 'australischen', 'indiens']","['Indien zentraler Partner unserer bilateralen Entwicklungszusammenarbeit Deshalb indischen Außenminister Subrahmanyam Jaishankar getroffen Finanzministerin Ministerin Unternehmensangelegenheiten Nirmala Sitharaman Agrarminister Narendra Tomar Montag drei Vereinbarungen unterzeichnet Zentrum stehen dabei entwicklungspolitische Zukunftsthemen nämlich gemeinsame Kampf Klimakrise Ausbau erneuerbarer Energien agrarökologische Ansätze Landwirtschaft Indien Vereinbarungen Zusammenarbeit neue Stufe heben Kampf Armut Klimakrise lässt Indien zusammen gewinnen Indien leidet stark Klimakrise aktuelle Hitzewelle zeigt Indien entscheidend Bewältigung Krise Frage Energiesicherheit dabei zentral Erneuerbare Energien gilt besonders Indien besonders wichtiges Anliegen daher Indien sozialverträglichen Energiewende Seite stehen Außerdem Land dabei unterstützen Produktivität Einkommen Landwirtschaft steigern gerade Hintergrund russischen Angriffskrieg Ukraine steigenden Nahrungsmittelpreise wichtige Aufgabe alldem klar engen Partner kritische Themen Lage Zivilgesellschaft offen ansprechen Kooperation Indien Deutschland bekommt Narendra Modi Bundeskanzler olafscholz unterzeichneten Green and Sustainable Development Partnership neuen größeren Rahmen Zusammenarbeit konsequent Nachhaltigkeitsagenda Vereinten Nationen ausgerichtet', 'Delegationsreise Indien', 'Indien']"
61,60,419,60_wetter_regen_winterwahlkampf_wahlkampf,"['wetter', 'regen', 'winterwahlkampf', 'wahlkampf', 'temperaturen', 'regnet', 'stimmung', 'endlich regen', 'wahladventskalender', 'bestem wetter']","['Endlich Regen', 'Endlich Regen', 'Regen Regen']"
62,61,398,61_kasachstan_mongolei_bangladesch_usbekistan,"['kasachstan', 'mongolei', 'bangladesch', 'usbekistan', 'vietnam', 'myanmar', 'zentralasien', 'kirgisistan', 'singapur', 'thailand']","['Reise Mongolei Mongolei einzige Nachbarländer Russland China Daher verlassen viele Rohstoffe Mongolei Richtung China kaum veredelt große Wertschöpfung Mongolei kommen Politiker Spiel Deutschland Europa derzeit kritischen Rohstoffen abhängig Import China Deutschland Mongolei deshalb Vorteil kritische Rohstoffe Mongolei aufzubereiten Deutschland transportieren Mitglied Ausschusses wirtschaftliche Zusammenarbeit Entwicklung daher Mongolei Bild Dschingis Khan wiederentdeckte Nationalheld Mongolei Munkhuu Oyunchimeg Vorsitzenden Parlamentariergruppe stehe weit verbreiteten Bild Bild Deutschland Mongolei strategische Partnerschaft vereinbart Hochschule Ressourcen Technologie Ort bereits Ansprechpartner Sachen Bergbau Danke Baatar Battsengel Rektorin Hochschule Austausch Bild Mongolei circa zwei Einwohnern pro Quadratkilometer dünnsten besiedelte Staat Welt Dabei lebt Hälfte circa Mongolinnen Mongolen Hauptstadt Ulan Baator Weite Landes beeindruckend denkt darüber Deutschland Mongolei Rohstoffe besser nutzen könnten', 'Region Zentralasien Ländern Kasachstan Usbekistan Tadschikistan Turkmenistan Kirgistan rückt geopolitisch immer mehr Mittelpunkt Schon heute Region Logistikdrehscheibe neuen Seidenstraße Züge Duisburg China durchqueren Region mehrmals Woche China baut Einfluss zahlreiche Infrastrukturprojekte Region Ländern spannungsfrei verläuft Russland gilt traditionell enger Partner ökonomisch Eurasische Wirtschaftsunion sicherheitspolitisch Truppenstationierungen USA bauen Präsenz insbesondere wegen Nähe Afghanistan China Europäische Union Hintergrund gerade erst neue Zentralasienstrategie gebracht Berlin forciert Stärkung regionalen Kooperation insbesondere Hintergrund klimatischen Veränderungen Region Zentralasien besonders hart trifft Rahmen Videokonferenz Christoph Mohr Leiter Büros Almaty Kasachstan Taschkent Usbekistan möchte heimische Bundestagsabgeordnete Dirk Wiese faszinierende politisch hoch brisante Region Bürgerinnen Bürgern näher bringen freue spannenden Diskussionsabend Region Region zudem näher ersten Blick denken Gerade Kasachstan Usbekistan Kirgistan gibt immer starke deutsche Minderheit engen Kontakt Deutschland Dirk Wiese MdB Juli Uhr stattfinden Einwahldaten erhalten interessierte Bürgerinnen Bürger Anmeldung Wahlkreisbüro Dirk Wiese MdB sauerland hochsauerland hochsauerlandkreis dirkwiese fes centralasia zentralasien spd nrwspd chiva usbekistan kasachstan tadschikistan turkmenistan kirgistan seidenstrasse silkroad newsilkroad asia china', 'Vergangene Woche Positionspapier Zentralasien Brücken bauen Chancen bieten zentralasiatischen Botschaftern diskutiert Zusammenhang konnte Botschafter Nurlan Onzhanov Republik Kasachstan neue Jurte Garten Botschaft Berlin zeigen Zuvor neue gesprochen Aktuell Kasachstan großen Hochwasser betroffen besonders schlimm dortige Boden gefroren versickern konnte Auswärtige Amt steht bzgl Unterstützungsleistungen intensiven Austausch Kasachstan Hierbei geht neben kurzfristigen Hilfsmaßnahmen langfristige Projekte Schutz Überschwemmungen weiteren Naturkatastrophen September Kasachstan zweiten Zentralasiengipfel ausrichten Bundeskanzler zentralasiatischen Präsidenten Gespräche führen Herr Botschafter Onzhanov wünscht mehr konkrete Ergebnisse Zusammenarbeit Botschafter Dilshod Akhatov Usbekistan bezüglich Positionspapiers Gespräch gekommen Usbekistan freut schon nächsten Zentralasiengipfel Bundeskanzler Mitte September stattfinden Insgesamt wünscht Usbekistan mehr konkrete Ergebnisse Bereich bilateralen Beziehungen usbekistan kasachstan Bundestag Außenpolitik SPD Darmstadt DarmstadtDieburg andreaslarem laremläuft']"
63,62,397,62_socken_sockenstudien_herrensocken_socken herrensocken,"['socken', 'sockenstudien', 'herrensocken', 'socken herrensocken', 'herrensocken sockenstudien', 'spinnen', 'garn', 'socken sockenstudien', 'handgesponnen', 'kleidung']","['Berlin gespannt Socken roten Socken heute entschieden socken herrensocken sockenstudien streifen gestreift spdfraktion spdbt sondersitzung', 'Okay Socken besonderes Schuhe her socken herrensocken sockenstudien bundestag spdfraktion brauneschuhe helgelindh', 'Ende Sitzungswoche präsentiere Socken Fraktion Linke socken herrensocken sockenstudien dielinke bundestag buntstattbraun']"
64,63,389,63_running_fitness_laufen_laufenmachtglücklich,"['running', 'fitness', 'laufen', 'laufenmachtglücklich', 'run', 'run running', 'runningmotivation', 'sport', 'laufen laufenmachtglücklich', 'running runningmotivation']","['run running runningmotivation lauf laufen laufenmachtglücklich sport sports sportmotivation fit fitness fitnessmotivation eifel eifelturm', 'K run running runningmotivation lauf laufen laufenmachtglücklich sport sports sportmotivation fit fitness fitnessmotivation eifel eifelturm', 'run running runningmotivation lauf laufen laufenmachtglücklich sport sports sportmotivation fit fitness fitnessmotivation eifel eifelturm']"
65,64,382,64_assange_julian assange_julian_auslieferung,"['assange', 'julian assange', 'julian', 'auslieferung', 'musk', 'freeassange', 'usa', 'pressefreiheit', 'elon', 'elon musk']","['Julian Assange darf vorerst USA ausgeliefert wegen Enthüllung Kriegsverbrechen Jahre Gefängnis drohen heutige Urteil Londoner Strafgerichts Grund Freude Julian Familie große internationale Solidaritätsbewegung unzähligen Kampagnen Initiativen Auslieferung Freilassung Julian Assange einsetzen zuletzt Urteilsspruch hingewiesen weitgehenden Ausschluss Öffentlichkeit Verfahren anhaltenden Behinderung Julian Assange adäquat Verteidigung USA vorzubereiten Urteilsspruch politischen Prozess erwarten zumal nie Verfahren hätte kommen dürfen Schließlich Großbritannien Drängen USA Julian Assange Exempel statuiert brutalen Haftbedingungen Aushöhlung rechtsstaatlicher Verfahrensgrundsätze Deshalb freue Julian seit persönlich kenne Freiheit einsetze Urteil allerdings Grund Feiern Pressefreiheit Gericht wesentlichen Punkten zugestimmt Kriminalisierung investigativen Journalismus öffnet sogar Spielraum Verfolgung Julian Assange britische Justiz Inhaltlich bestätigt Urteil Fall Assange politisches Verfahren handelt Anklagebank saßen Assange Meinungsfreiheit gefährlichen Präzedenzfall geschaffen Julian Assange unverzüglich Haft Hochsicherheitsgefängnis Belmarsh freikommen weitere Verfahren Freiheit bestreiten Behandlung Julian Assange Schwerverbrecher Topterroristen unverzüglich beendet Einspruch britischen Urteilsspruch bleibt aktuell Auslieferung Julian Assange USA verhindert wer Kriegsverbrechen enthüllt gehört Gericht Gefängnis wer Kriegsverbrechen befiehlt begeht', 'FreeAssange Februar findet London vielleicht letzte Gerichtsanhörung Auslieferung Julian Assange USA statt Klar Leben Freiheit mutigen Journalisten allein Washington entschieden USA Verfolgung Julian Assange begonnen beendet Seit elf Jahren Journalist Freiheit beraubt Kriegsverbrechen USA publik gemacht Video Collateral Murder Ermordung irakischer Zivilisten weltweit Aufmerksamkeit erregt Sieben Jahre lang lebte Julian Assange politischer Flüchtling Botschaft Ecuadors London April britischen Polizei verhaftet wurde Seit mehr vier Jahren seit Tagen politischer Gefangener Hochsicherheitsgefängnis Belmarsh eingesperrt Auslieferung USA sicherzustellen elf Jahren Verfolgung Julian Assange immer zugespitzt Julian Assange steht kurz Ende Schauprozesses Rechtsstaat gänzlich unwürdig Auslieferung USA nahe nie Druck Freilassung Julian Assange erhöhen Verfolgung Julian Assange Angriff Pressefreiheit Auslieferung USA verhindert Beim Washington bekräftigt Freiheit Julian Assange fordern bedeutet Wahrheit eintreten Grundrechte verteidigen denen Gemeinwesen https westliche Presseberichterstattung Gaza zeigt Stimme Julian Assange brauchen gesagt Kriege Lügen begonnen Frieden Wahrheit begonnen', 'zwei Tagen Anhörungen Fall Julian Assange verkünden Richter behalten Entscheidung Parteien wenden weitere Informationen benötigen heißt Julian Assange heute erst USA ausgeliefert Unklar wann High Court London bekannt gibt wann Julian Assange Auslieferung USA britischen Gerichten Berufung gehen Gefahr gebannt Julian Assange konnte angesichts schlechten Gesundheitszustands Anhörung teilnehmen Arbeitsbedingungen Journalisten Ort Gericht besten staatliche Schikane benennen wohl wichtigsten Fall Pressefreiheit Jahrhundert Einfach beeindruckend dafür enorme Solidarität überwältigende Unterstützung Julian Assange Straßen London ganzen Welt Protestkundgebung High Court mehr betont Kamof Freiheit Julian Assange Kampf Freiheit Julian Assange verteidigen verteidigen Freiheit Journalismus Verbrechen diejenigen Kriegsverbrechen aufdecken gehören Gericht Gefängnis diejenigen Kriegsverbrechen anordnen begehen George Bush Tony Blair Irak Demonstration Downing Street Ende Verhandlung bekräftigt Auslieferung Julian Assange Ende politischer Ebene entschieden britische Regierung steht Verantwortung weitere Inhaftierung Julian Assange Hochsicherheitsgefängnis Belmarsh britischen Guantanamo allein wegen Veröffentlichung Schande ganz Europa Hand Joe Biden Verfolgung Journalisten beenden jedenfalls aufgeben kämpfen Freiheit Julian Assange Presse Freiheit freeassangenow']"
66,65,344,65_selfie_selfiemichi_selfies_reutlingen,"['selfie', 'selfiemichi', 'selfies', 'reutlingen', 'cducsubt selfiemichi', 'selfietime', 'bürgerbüro reutlingen', 'profilbild', 'cdukvrt', 'bürgerbüro']","['Abschluss Tages schönes Selfie schönen Sonntag sonntag selfie', 'Mal Selfie Selfie different wolken sky himmel', 'SelfieMichi']"
67,66,324,66_zoo_worms_eichhörnchen_zoos,"['zoo', 'worms', 'eichhörnchen', 'zoos', 'dinosaurier', 'panda', 'tiere', 'pandas', 'tierpark', 'artenschutz']","['Zoo Berlin', 'Zoo Berlin', 'Zoo Berlin']"
68,67,311,67_post_pakete_postgesetz_wirecard,"['post', 'pakete', 'postgesetz', 'wirecard', 'briefe', 'arbeitsbedingungen', 'postgesetzes', 'paketen', 'paketmarkt', 'briefen']","['Deutschland täglich Millionen Briefe Millionen Pakete verschickt zeigt große Bedeutung verlässlicher bezahlbarer Paketservice Bürgerinnen Bürger Zeitalter Digitalisierung nehmen Briefmengen ab Paketmengen zunehmen Post fit Zukunft beschließen Woche erste Reform Postgesetzes seit Jahren garantieren flächendeckende erschwingliche Versorgung Menschen Briefen Paketen Stadt ländlichen Raum Außerdem schaffen faire Wettbewerbsbedingungen wachsenden Paketmarkt sorgen klimafreundlichere Paketbeförderung verzichten Nachtflüge Post bieten mehr Schutz Arbeitnehmerinnen Arbeitnehmer schaffen bessere Arbeitsbedingungen Paketmarkt Marktzugang daran gekoppelt Regelungen Arbeitsbedingungen eingehalten Wer Spielregeln hält verliert Zugang parlamentarischen Verfahren Gesetz nachgeschärft stellen sicher Subunternehmer großen Paketdienstleister deren Auftragnehmer engmaschiger schärfer Einhaltung Arbeitsschutzvorschriften überprüft Außerdem gewährleisten besonders schwere Pakete Gewicht kg zwei Personen getragen dürfen tatsächlich geeignetes Hilfsmittel Einsatz kommt', 'Deutschland täglich Millionen Briefe Millionen Pakete verschickt zeigt große Bedeutung verlässlicher bezahlbarer Paketservice Bürgerinnen Bürger Zeitalter Digitalisierung nehmen Briefmengen ab Paketmengen zunehmen Post fit Zukunft beschließen Woche erste Reform Postgesetzes seit Jahren garantieren flächendeckende erschwingliche Versorgung Menschen Briefen Paketen Stadt ländlichen Raum Außerdem schaffen faire Wettbewerbsbedingungen wachsenden Paketmarkt sorgen klimafreundlichere Paketbeförderung verzichten Nachtflüge Post bieten mehr Schutz Arbeitnehmerinnen Arbeitnehmer schaffen bessere Arbeitsbedingungen Paketmarkt Marktzugang daran gekoppelt Regelungen Arbeitsbedingungen eingehalten Wer Spielregeln hält verliert Zugang parlamentarischen Verfahren Gesetz nachgeschärft stellen sicher Subunternehmer großen Paketdienstleister deren Auftragnehmer engmaschiger schärfer Einhaltung Arbeitsschutzvorschriften überprüft Außerdem gewährleisten besonders schwere Pakete Gewicht kg zwei Personen getragen dürfen tatsächlich geeignetes Hilfsmittel Einsatz kommt', 'Heute Bundestag neue Postgesetz beschlossen Deutschland täglich Millionen Briefe Millionen Pakete verschickt zeigt große Bedeutung verlässlicher bezahlbarer Paketservice Bürgerinnen Bürger Zeitalter Digitalisierung nehmen Briefmengen ab Paketmengen zunehmen Post fit Zukunft beschließen Woche erste Reform Postgesetzes seit Jahren garantieren flächendeckende erschwingliche Versorgung Menschen Briefen Paketen Stadt ländlichen Raum Außerdem schaffen faire Wettbewerbsbedingungen wachsenden Paketmarkt sorgen klimafreundlichere Paketbeförderung verzichten Nachtflüge Post bieten mehr Schutz Arbeitnehmerinnen Arbeitnehmer schaffen bessere Arbeitsbedingungen Paketmarkt Marktzugang daran gekoppelt Regelungen Arbeitsbedingungen eingehalten Wer Spielregeln hält verliert Zugang parlamentarischen Verfahren Gesetz nachgeschärft stellen sicher Subunternehmer großen Paketdienstleister deren Auftragnehmer engmaschiger schärfer Einhaltung Arbeitsschutzvorschriften überprüft Außerdem gewährleisten besonders schwere Pakete Gewicht kg zwei Personen getragen dürfen tatsächlich geeignetes Hilfsmittel Einsatz kommt']"
69,68,306,68_pferde_pferd_horse_horses,"['pferde', 'pferd', 'horse', 'horses', 'horsesofinstagram', 'reiten', 'pferden', 'pony', 'pferdesport', 'icelandichorse']","['Pferdequälerei geht gar Immer Social Media Videos gezeigt denen Pferde rüde Trainingsmethoden skandalöse Haltung schmerzhafte Übergriffe leiden müssen Mehrheit Pferdehalterinnen liebt Pferde Seit klein geritten Pferde gehalten gezüchtet Tochter Mann reiten Tierärztin Pferde Fokus Pferde Teil Lebens gilt genauso Menschen vielleicht Woche Reitbeteiligung all Pferdeliebhaber aufmerksam FN Pferdefachmesse Equitana Bundesvereinigung Berufsreiter führende Fachmedien Georg CHIO Aachen viele weitere aufgerufen unterstütze doitride negativen Berichterstattung Netz positive Botschaften entgegensetzen Liket Beitrag Menschen kennt ganz toll Pferde kümmern', 'Seit jeher Pferde Symbol Freiheit Unabhängigkeit Gleichzeitig Pferde hochsensible Tiere subtile Signale Körpersprache verstehen unterstütze doitride Interaktion Mensch Pferd immer Vertrauen Respekt gegenseitigem Verständnis basieren pferd reiten equestrian horsesofinstagram doitride', 'nationale Tag Pferdes USA seit Jahren Dezember gefeiert gutem Grund USA Pferde hohen Maß Wirtschaft Geschichte Kultur USA beigetragen USA Deutschland wäre Geschichte Pferde Gegenwart wäre Pferde mehrfacher Hinsicht ärmer Auswahl interessanten Fakten Pferd Deutschland Gesamtumsatz deutschen Pferdewirtschaft Milliarden Euro geschätzt Drei vier Pferde schaffen Arbeitsplatz Menschen verdienen Lebensunterhalt direkt indirekt Pferden landwirtschaftlichen Betrieben Pferde gehalten Rund Millionen Deutsche Jahren interessieren Reitsport Pferde eignen Picture taken Alaska NationalHorseDay WirtschaftsfaktorPferd Pferd Reiten Pferdezucht fdpbt fdp FDP FDPBW fdpbawü']"
